_time,current_r,current_s,current_t,voltage_r,voltage_s,voltage_t,power_active,power_reactive,power_apparent,pf_r,pf_s,pf_t
2024-01-01 00:00:00,10.527160489432921,10.528758153425064,12.777207969592714,219.965550499556,220.5813656462594,222.67896414673132,499.90466316827246,200.03456218076226,550.0812401566614,1.0,1.0,1.0
2024-01-01 00:01:00,9.779457997268585,10.531648582383204,11.528744836237268,219.56551602652948,220.44510838323214,221.73938391865988,500.00567930471584,198.64491113019005,549.8546843355583,0.8,0.8,1.0
2024-01-01 00:02:00,10.293380781444911,10.936899493399464,11.712361078475432,219.89889413547917,220.98506346118916,221.68544518210103,500.4296743833559,200.51302634603564,550.2985094630005,1.0,0.8,0.8513523986000278
2024-01-01 00:03:00,9.032220496178091,9.80571567728762,12.212162846173074,220.2902572671291,221.5258329505103,222.9355181457803,500.4486094509468,200.17891379583915,551.4316640606481,0.8345091418797714,0.8,0.8
2024-01-01 00:04:00,9.302699177463571,10.470575171468637,11.396185693435179,220.09428101842505,220.98327379220635,222.91770087828334,500.24693396767765,200.81116927884736,550.8287259955631,0.8,0.8179477297067207,0.8
2024-01-01 00:05:00,10.308405256703436,10.757767144584468,11.877485925334557,219.5135448071717,220.08927480896162,221.9539021500764,500.79624443572834,200.71345862977665,551.6862776307771,0.8,0.8926725035216173,0.8
2024-01-01 00:06:00,10.491340359683154,10.573620315678324,11.493290568741175,220.01116756797254,222.23129602033444,223.13829037236988,501.25141355063806,199.7913225554536,551.5606089525202,0.9212524668884281,0.9147114519416013,0.8141757328286886
2024-01-01 00:07:00,9.487056208867786,10.715480865926148,11.425638240149166,220.8369425985632,221.8087438418971,221.54226312446855,501.9204936315774,200.6675887222372,551.4067219288878,0.8,0.9361399412861855,0.8
2024-01-01 00:08:00,10.917095876581893,10.526946994991249,12.376445770185143,220.116175491521,220.90352334249613,222.4692176208533,501.65739102140054,200.01010441905797,552.6749320530689,0.8,0.9399248802043905,0.9891680237164782
2024-01-01 00:09:00,10.043015950258853,11.727323531270663,12.707702087140198,219.76049449409325,220.88882087146587,222.23631927742863,501.8505491088411,201.18529641096873,552.126206010611,0.8,1.0,1.0
2024-01-01 00:10:00,11.036261412759403,10.735190490524554,12.237244508730056,219.90506066258231,221.76534581054926,222.7325058834616,501.25321277257547,201.212365175921,552.9732285683543,0.8,0.8824145185208083,1.0
2024-01-01 00:11:00,9.636827349554427,10.974345170090924,11.531082532456058,219.6032558393492,221.5921770772986,222.66629838188,502.290634068322,201.09292444907226,551.7364065375784,0.8,0.9106199045704332,0.8
2024-01-01 00:12:00,10.579228567130132,11.555262267588803,11.722612019657479,220.977077219994,221.26407647426862,221.3205888512921,501.6910568772829,200.79358690131164,552.2750077252263,0.9894282192054137,1.0,0.8
2024-01-01 00:13:00,9.923011842859898,11.235169836459262,11.57403797804831,220.2869963991449,220.70860696915975,222.89994455988204,501.6276872948218,201.57994902639481,552.4467648775045,1.0,1.0,1.0
2024-01-01 00:14:00,9.850803714361115,11.285148682082815,11.698276288340352,220.43178558125,222.61180949434154,222.46720695092154,502.9236964534174,201.57092275753922,552.8173058525715,0.8,1.0,1.0
2024-01-01 00:15:00,9.428317908400096,10.97527160089902,11.672773240628356,221.3096420098861,222.05758659748238,222.79694261165125,503.09516308126695,201.16637898610298,552.4506605275633,1.0,1.0,0.8
2024-01-01 00:16:00,10.586858781254303,11.682358257950739,12.624631585340813,220.8531252643097,220.5442379194522,222.51016584488036,503.13148853439714,202.24527259001852,553.4110343800305,1.0,1.0,0.8
2024-01-01 00:17:00,9.723206770195295,11.58497578110389,12.626231339912323,219.7109945919862,221.22877482121342,222.58426011823485,504.3138070814862,202.04585044089316,554.0248829698295,1.0,1.0,0.8
2024-01-01 00:18:00,10.253881097616828,10.72619152667055,11.665731870231301,220.88257259589707,221.21291161818763,222.90328014068822,503.72970871424485,201.49192179845554,554.7410266245294,1.0,0.8379782387467034,0.8630892533289102
2024-01-01 00:19:00,9.268847987222664,11.922671246505624,12.732194003601508,220.30653026845079,221.84132227140304,222.58595670118638,502.92094610627674,201.44227767035815,553.5499953326473,0.8,0.8,0.8
2024-01-01 00:20:00,11.183242635875466,10.402004491984405,11.435765400308956,220.96882663932686,221.73508238896417,223.33298939154443,504.0803552782407,202.68947229788378,554.5514371757399,1.0,0.8,1.0
2024-01-01 00:21:00,10.339096133551246,11.584990476023577,12.235386260893474,220.65775736482564,221.49457056138806,223.1322863763113,504.0788109613575,201.8964001477724,553.9271364153087,0.8387625358505855,0.8505062684886394,0.9141805199662959
2024-01-01 00:22:00,10.561401434468502,11.419310789589222,12.1567361680977,220.8759317339271,221.4097279076296,222.21227496159267,503.5227255050843,202.25994378970967,554.8504364023007,0.8,1.0,1.0
2024-01-01 00:23:00,9.888306890464813,12.39328044763662,12.096715888577295,221.39037981210222,221.35952594648035,221.25980616727333,504.21022117576683,201.4458225512798,554.9432334788506,0.8,0.8374856507899134,0.8
